Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1509398,2014-10-21 16:42:05,2014-07-08 19:17:43,9020382,297672606,0,33,192,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509398/SRR1509398.1,SRX648225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655486,SAMN02905118,simple,9606,Homo sapiens,GSM1430904,,,,,,,no,,,,,GEO,SRA174535,,public,1DED038D880E26537F481757B751AA27,98742B84A94696767ADF612374B1C929
SRR1509399,2014-10-21 16:42:05,2014-07-08 19:16:05,9398911,310164063,0,33,199,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509399/SRR1509399.1,SRX648226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655487,SAMN02905119,simple,9606,Homo sapiens,GSM1430905,,,,,,,no,,,,,GEO,SRA174535,,public,85A4B88577E18969C68A35843A4A0EA6,69BB4CA3B5213896F1415DAB65F0A7B8
SRR1509400,2014-10-21 16:42:05,2014-07-08 19:14:51,9229769,304582377,0,33,195,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509400/SRR1509400.1,SRX648227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655488,SAMN02905120,simple,9606,Homo sapiens,GSM1430906,,,,,,,no,,,,,GEO,SRA174535,,public,EE90C728379276D49DFBF7D8F5C08F2C,D586811328F515AC31B3B4BC74746920
SRR1509401,2014-10-21 16:42:05,2014-07-08 19:18:43,8888182,293310006,0,33,188,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509401/SRR1509401.1,SRX648228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655489,SAMN02905121,simple,9606,Homo sapiens,GSM1430907,,,,,,,no,,,,,GEO,SRA174535,,public,866017B1A524950183DAF1E5D7D1151C,AD66E6B2BB3524204F0A73B1F3E19C44
SRR1509402,2014-10-21 16:42:05,2014-07-08 19:15:02,10136001,334488033,0,33,215,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509402/SRR1509402.1,SRX648229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655490,SAMN02905122,simple,9606,Homo sapiens,GSM1430908,,,,,,,no,,,,,GEO,SRA174535,,public,2255A4AD7225B6333355A243D33EFBB1,6E45C7A1CC577B08918B2360AE130517
SRR1509403,2014-10-21 16:42:05,2014-07-08 19:14:59,8492274,280245042,0,33,181,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509403/SRR1509403.1,SRX648230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655491,SAMN02905123,simple,9606,Homo sapiens,GSM1430909,,,,,,,no,,,,,GEO,SRA174535,,public,529929AC30A80643F45BEBC980E177DA,528402E650ED22B14384C4EFA2C0C53C
SRR1509404,2014-10-21 16:42:05,2014-07-08 19:18:03,8940809,295046697,0,33,189,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509404/SRR1509404.1,SRX648231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655492,SAMN02905124,simple,9606,Homo sapiens,GSM1430910,,,,,,,no,,,,,GEO,SRA174535,,public,E623EBCC6125EA76958D4D1BD7E4C3A1,E7A5FCC25F00FA5E6A31AB0900FF0DEA
SRR1509405,2014-10-21 16:42:05,2014-07-08 19:18:17,11179872,368935776,0,33,238,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509405/SRR1509405.1,SRX648232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655493,SAMN02905125,simple,9606,Homo sapiens,GSM1430911,,,,,,,no,,,,,GEO,SRA174535,,public,010DA35B4FFF3C52ED6345C99EB89AC9,B8D5D14076D26BF3FB9DC3291980659A
SRR1509406,2014-10-21 16:42:05,2014-07-08 19:14:53,8672850,286204050,0,33,161,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509406/SRR1509406.1,SRX648233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655494,SAMN02905126,simple,9606,Homo sapiens,GSM1430912,,,,,,,no,,,,,GEO,SRA174535,,public,8C46F21F1156E412307802FE4C85294A,AE132E04A4620B051EB5C1629F87625A
SRR1509407,2014-10-21 16:42:05,2014-07-08 19:15:18,9206654,303819582,0,33,172,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1509407/SRR1509407.1,SRX648234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP044171,PRJNA254756,2,254756,SRS655495,SAMN02905127,simple,9606,Homo sapiens,GSM1430913,,,,,,,no,,,,,GEO,SRA174535,,public,0134BA3395E7759FEFCF96334E58EB28,1D0F9EA70F8681EB318FE166944FBAC6
