BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	source_name	treatment	group
SAMN14313687	SRR11249930	2020-05-26T16:37:23Z	2020-03-06T11:01:29Z	55310291	5641649682	55310291	102	1570		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR11249930/SRR11249930.1	SRX7860096		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269027	simple	9606	Homo sapiens	GSM4387271							no					GEO	SRA1051753		public	54E013210212F35C48D6440D345C28B3	94C9C1AA962258DACB46266A79159E09	14313687	Vehicle replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269027	GSM4387271	Human CD45+ cells from bone marrow of PDX mouse	Vehicle	Vehicle	Vehicle
SAMN14313686	SRR11249931	2020-05-26T16:37:23Z	2020-03-06T11:03:18Z	74426620	7591515240	74426620	102	2122		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/SRR11249931/SRR11249931.1	SRX7860097		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269028	simple	9606	Homo sapiens	GSM4387272							no					GEO	SRA1051753		public	6A44CFA6FD6D8E78AC58BDB185619185	EDD15867DF74852250EFBC45DA2E527A	14313686	Vehicle replicate 2 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269028	GSM4387272	Human CD45+ cells from bone marrow of PDX mouse	Vehicle	Vehicle	Vehicle
SAMN14313685	SRR11249932	2020-05-26T16:37:23Z	2020-03-06T11:03:56Z	77881199	7943882298	77881199	102	2231		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR11249932/SRR11249932.1	SRX7860098		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269029	simple	9606	Homo sapiens	GSM4387273							no					GEO	SRA1051753		public	B532F9D329A8C331B005180A09C04BC4	9A4EC969AA166BAA84C46CAC30FE26A1	14313685	Vehicle replicate 3 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269029	GSM4387273	Human CD45+ cells from bone marrow of PDX mouse	Vehicle	Vehicle	Vehicle
SAMN14313684	SRR11249933	2020-05-26T16:37:23Z	2020-03-06T11:03:13Z	65857468	6717461736	65857468	102	1873		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11249933/SRR11249933.1	SRX7860099		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269030	simple	9606	Homo sapiens	GSM4387274							no					GEO	SRA1051753		public	DC1E4FA8FB4BA00D777E4F6E870E2C77	EF8552ABF6933CDF5F40AC99838B54B7	14313684	BAY1436032 replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269030	GSM4387274	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032	BAY1436032	BAY1436032
SAMN14313683	SRR11249934	2020-05-26T16:37:23Z	2020-03-06T11:10:43Z	75086495	7658822490	75086495	102	2168		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11249934/SRR11249934.1	SRX7860100		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269031	simple	9606	Homo sapiens	GSM4387275							no					GEO	SRA1051753		public	31E29687ACAF44CEBD0C6E900C1080FA	0F2BD5DB2928483C50B0B9C99DC6DC23	14313683	BAY1436032 replicate 2 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269031	GSM4387275	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032	BAY1436032	BAY1436032
SAMN14313682	SRR11249935	2020-05-26T16:37:23Z	2020-03-06T11:17:02Z	68120920	6948333840	68120920	102	1957		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11249935/SRR11249935.1	SRX7860101		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269033	simple	9606	Homo sapiens	GSM4387276							no					GEO	SRA1051753		public	5972932820F298E672F1B0F87428FF37	0841714752F0C19EBCA0F592A2669EF4	14313682	BAY1436032 replicate 3 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269033	GSM4387276	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032	BAY1436032	BAY1436032
SAMN14313681	SRR11249936	2020-05-26T16:37:23Z	2020-03-06T11:18:25Z	65319819	6662621538	65319819	102	1867		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR11249936/SRR11249936.1	SRX7860102		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269032	simple	9606	Homo sapiens	GSM4387277							no					GEO	SRA1051753		public	083A08A824FE0A7ABB497BF4077029C9	19402677D3FFF85C6D104191CD0DC14E	14313681	Azacitidine replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269032	GSM4387277	Human CD45+ cells from bone marrow of PDX mouse	Azacitidine	Azacitidine	Azacitidine
SAMN14313680	SRR11249937	2020-05-26T16:37:23Z	2020-03-06T11:04:24Z	59576151	6076767402	59576151	102	1708		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11249937/SRR11249937.1	SRX7860103		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269034	simple	9606	Homo sapiens	GSM4387278							no					GEO	SRA1051753		public	05ACD04A33983CE9951FE05E366FFF3A	636DA6B9AC43135C6B3F34BC9A4AE031	14313680	Azacitidine replicate 2 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269034	GSM4387278	Human CD45+ cells from bone marrow of PDX mouse	Azacitidine	Azacitidine	Azacitidine
SAMN14313679	SRR11249938	2020-05-26T16:37:23Z	2020-03-06T11:10:14Z	70326291	7173281682	70326291	102	2024		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11249938/SRR11249938.1	SRX7860104		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269035	simple	9606	Homo sapiens	GSM4387279							no					GEO	SRA1051753		public	4117781DACF789341FFB8770D81F252C	50276F22653A01FE70D020E4B938C931	14313679	Azacitidine replicate 3 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269035	GSM4387279	Human CD45+ cells from bone marrow of PDX mouse	Azacitidine	Azacitidine	Azacitidine
SAMN14313678	SRR11249939	2020-05-26T16:37:23Z	2020-03-06T11:13:36Z	71127489	7255003878	71127489	102	2022		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11249939/SRR11249939.1	SRX7860105		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP251826	PRJNA610784	3	610784	SRS6269036	simple	9606	Homo sapiens	GSM4387280							no					GEO	SRA1051753		public	D7C0F574FCA5A8D63E2F4F65EB2E1997	A04F99C2825ADE9C68B50E57CB797DA6	14313678	BAY1436032+Azacitidine sequential replicate 1 [RNA-seq]	Heuser, Hematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover Medical School	9606	SRS6269036	GSM4387280	Human CD45+ cells from bone marrow of PDX mouse	BAY1436032+Azacitidine sequential	BAY1436032+Azacitidine sequential	BAY1436032_Azacitidine_seq
