BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	group
SAMN13633919	SRR10741168	2020-09-01T17:05:01Z	2019-12-19T17:04:43Z	14254749	1425474900	0	100	456		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/10741/SRR10741168/SRR10741168.lite.1	SRX7416703		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863498	simple	9606	Homo sapiens	GSM4225689							no					GEO	SRA1014458		public	7A109FD3FF5A49AFA65195D79B8EAA30	7C8FF5BB713FD72DC72E652814177428	13633919	SW6ODC2	iGE3 Genomics Platform, University of Geneva	9606	SRS5863498	GSM4225689	SW620	CRC cell line	ODC (regorafenib, vemurafenib)	SW620.ODC..regorafenib..vemurafenib.
SAMN13633919	SRR10741169	2020-09-01T17:05:01Z	2019-12-19T17:03:09Z	10444710	1044471000	0	100	329		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10741/SRR10741169/SRR10741169.lite.1	SRX7416703		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863498	simple	9606	Homo sapiens	GSM4225689							no					GEO	SRA1014458		public	45BAF2A445A1372E546123CC5C6665B7	554F145195E1E56F9EF3198E1EC98264	13633919	SW6ODC2	iGE3 Genomics Platform, University of Geneva	9606	SRS5863498	GSM4225689	SW620	CRC cell line	ODC (regorafenib, vemurafenib)	SW620.ODC..regorafenib..vemurafenib.
SAMN13633920	SRR10741166	2020-09-01T17:05:01Z	2019-12-19T17:05:08Z	14527321	1452732100	0	100	461		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10741/SRR10741166/SRR10741166.lite.1	SRX7416702		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863521	simple	9606	Homo sapiens	GSM4225688							no					GEO	SRA1014458		public	222DACCF6F89A51A7FA59C6BC94A0684	4CECECFD82989A9C64132F0C6A399BD3	13633920	SW6ODC1	iGE3 Genomics Platform, University of Geneva	9606	SRS5863521	GSM4225688	SW620	CRC cell line	ODC (regorafenib, vemurafenib)	SW620.ODC..regorafenib..vemurafenib.
SAMN13633920	SRR10741167	2020-09-01T17:05:01Z	2019-12-19T17:03:02Z	11017916	1101791600	0	100	344		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR010/741/SRR10741167/SRR10741167.lite.1	SRX7416702		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863521	simple	9606	Homo sapiens	GSM4225688							no					GEO	SRA1014458		public	F0669DBE70CC92172F014F632C36F9D5	5B2E7C1B908996D5C8764366D334B036	13633920	SW6ODC1	iGE3 Genomics Platform, University of Geneva	9606	SRS5863521	GSM4225688	SW620	CRC cell line	ODC (regorafenib, vemurafenib)	SW620.ODC..regorafenib..vemurafenib.
SAMN13633921	SRR10741164	2020-09-01T17:05:01Z	2019-12-19T17:04:17Z	14347002	1434700200	0	100	458		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10741/SRR10741164/SRR10741164.lite.1	SRX7416701		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863497	simple	9606	Homo sapiens	GSM4225687							no					GEO	SRA1014458		public	B48DA400C23431FB770F0FF3F4313938	DEC8000C05966144DD7F88240D72EF3F	13633921	SW6CTRL2	iGE3 Genomics Platform, University of Geneva	9606	SRS5863497	GSM4225687	SW620	CRC cell line	CTRL	SW620.CTRL
SAMN13633921	SRR10741165	2020-09-01T17:05:01Z	2019-12-19T17:04:47Z	11057279	1105727900	0	100	349		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR010/741/SRR10741165/SRR10741165.lite.1	SRX7416701		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863497	simple	9606	Homo sapiens	GSM4225687							no					GEO	SRA1014458		public	5D413F8FC6111D4A0E18AAAF9888A88F	E68A2AE844243263AC82A12304ACEEF1	13633921	SW6CTRL2	iGE3 Genomics Platform, University of Geneva	9606	SRS5863497	GSM4225687	SW620	CRC cell line	CTRL	SW620.CTRL
SAMN13633922	SRR10741162	2020-09-01T17:05:01Z	2019-12-19T17:04:05Z	14657919	1465791900	0	100	466		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10741/SRR10741162/SRR10741162.lite.1	SRX7416700		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863496	simple	9606	Homo sapiens	GSM4225686							no					GEO	SRA1014458		public	2236C2B2CD318EB932298BAA6A4E43C9	1133F6288ED6B9450A281A4748A29729	13633922	SW6CTRL1	iGE3 Genomics Platform, University of Geneva	9606	SRS5863496	GSM4225686	SW620	CRC cell line	CTRL	SW620.CTRL
SAMN13633922	SRR10741163	2020-09-01T17:05:01Z	2019-12-19T17:02:43Z	11171826	1117182600	0	100	350		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10741/SRR10741163/SRR10741163.lite.1	SRX7416700		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863496	simple	9606	Homo sapiens	GSM4225686							no					GEO	SRA1014458		public	1CB9D6C9580F559E4A759D237ECEE777	3A4C509D43EF60C651B6E4050973D0AA	13633922	SW6CTRL1	iGE3 Genomics Platform, University of Geneva	9606	SRS5863496	GSM4225686	SW620	CRC cell line	CTRL	SW620.CTRL
SAMN13633923	SRR10741160	2020-09-01T17:05:01Z	2019-12-19T17:02:54Z	16324225	1632422500	0	100	526		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/10741/SRR10741160/SRR10741160.lite.1	SRX7416699		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863495	simple	9606	Homo sapiens	GSM4225685							no					GEO	SRA1014458		public	E995AB96E1683BA30D05F631A2C50775	C765CF9AD073E5C0163B622E6AE951B8	13633923	SW4ODC2	iGE3 Genomics Platform, University of Geneva	9606	SRS5863495	GSM4225685	SW48	CRC cell line	ODC (vemurafenib, crenolanib)	SW48.ODC..vemurafenib..crenolanib.
SAMN13633923	SRR10741161	2020-09-01T17:05:01Z	2019-12-19T17:03:04Z	12277358	1227735800	0	100	389		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR010/10741/SRR10741161/SRR10741161.lite.1	SRX7416699		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP238240	PRJNA596676	3	596676	SRS5863495	simple	9606	Homo sapiens	GSM4225685							no					GEO	SRA1014458		public	9210A01BD4D15723A9400F8EC2937EA7	99D6D6DE85182F24D825D442A1EB4553	13633923	SW4ODC2	iGE3 Genomics Platform, University of Geneva	9606	SRS5863495	GSM4225685	SW48	CRC cell line	ODC (vemurafenib, crenolanib)	SW48.ODC..vemurafenib..crenolanib.
