Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR16953104,2021-11-19 10:22:04,2021-11-15 20:59:31,33713467,2530140658,0,75,947,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16953/SRR16953104/SRR16953104.lite.1,SRX13144707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077419,SAMN23169310,simple,9606,Homo sapiens,GSM5691809,,,,,,,no,,,,,GEO,SRA1329749,,public,9F9777D79D86FEABF64ADC1992E23A50,8728E0FE7572C859EA8A3F5EA096DF31
SRR16953105,2021-11-19 10:22:05,2021-11-15 21:49:37,40014441,3000866598,0,74,1101,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953105/SRR16953105.lite.1,SRX13144708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077420,SAMN23169311,simple,9606,Homo sapiens,GSM5691810,,,,,,,no,,,,,GEO,SRA1329749,,public,3DE0EFD8A553EDCE2030A8422774FBEC,A993E2205ADBF8BC0D0BE2D52F6CCF62
SRR16953106,2021-11-19 10:22:05,2021-11-15 21:47:42,32315063,2425844012,0,75,900,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953106/SRR16953106.lite.1,SRX13144709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077421,SAMN23169312,simple,9606,Homo sapiens,GSM5691811,,,,,,,no,,,,,GEO,SRA1329749,,public,9F04406D874C57016D66D2CE6740EEA5,7C121E8AFBEB202635E370EFE7F07700
SRR16953107,2021-11-19 10:22:05,2021-11-15 21:58:33,34713487,2605416163,0,75,956,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16953/SRR16953107/SRR16953107.lite.1,SRX13144710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077422,SAMN23169313,simple,9606,Homo sapiens,GSM5691812,,,,,,,no,,,,,GEO,SRA1329749,,public,B1967A377BA60CD5C4E8AB690418E783,FE0CC926CBECB2D7EA2CEDBBD466AA4B
SRR16953108,2021-11-19 10:22:05,2021-11-15 21:48:03,37122819,2786395290,0,75,1021,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16953/SRR16953108/SRR16953108.lite.1,SRX13144711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077423,SAMN23169314,simple,9606,Homo sapiens,GSM5691813,,,,,,,no,,,,,GEO,SRA1329749,,public,6F0EB398DB271AB44294391634DF0368,67BA6835BD0961EA5FAF1D794929C61C
SRR16953109,2021-11-19 10:22:05,2021-11-15 21:48:01,37597707,2822388252,0,75,1033,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16953/SRR16953109/SRR16953109.lite.1,SRX13144712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077424,SAMN23169315,simple,9606,Homo sapiens,GSM5691814,,,,,,,no,,,,,GEO,SRA1329749,,public,B808E55BBA10FB77E415DDA4D4AAFD6B,38B2A5E5A3F95789F4C5888192FA7E33
SRR16953110,2021-11-19 10:22:05,2021-11-15 21:49:42,39761259,2984436320,0,75,1093,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR016/16953/SRR16953110/SRR16953110.lite.1,SRX13144713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077425,SAMN23169316,simple,9606,Homo sapiens,GSM5691815,,,,,,,no,,,,,GEO,SRA1329749,,public,2DC062EF1A372CB5A5E79F357F440866,B5C43F6792142EB96E1F5B4A6209EEA1
SRR16953111,2021-11-19 10:22:05,2021-11-15 21:52:33,40710407,3052095918,0,74,1119,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953111/SRR16953111.lite.1,SRX13144714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077426,SAMN23169317,simple,9606,Homo sapiens,GSM5691816,,,,,,,no,,,,,GEO,SRA1329749,,public,4DB8F7891C984BA934D59F0E764EEA9C,4942E6EB724DC70C50CA36767EB0E3A9
SRR16953112,2021-11-19 10:22:06,2021-11-15 21:50:08,40536041,3043108936,0,75,1112,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16953/SRR16953112/SRR16953112.lite.1,SRX13144715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077427,SAMN23169318,simple,9606,Homo sapiens,GSM5691817,,,,,,,no,,,,,GEO,SRA1329749,,public,BACD25F568795F5CBF3241C841BBB99B,D297FD63E5D183163568DF98CF363F09
SRR16953113,2021-11-19 10:22:06,2021-11-15 21:50:48,39493022,2964138595,0,75,1088,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16953/SRR16953113/SRR16953113.lite.1,SRX13144716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP346261,PRJNA780603,3,780603,SRS11077428,SAMN23169319,simple,9606,Homo sapiens,GSM5691818,,,,,,,no,,,,,GEO,SRA1329749,,public,FC5E6CE63C12E7FDCF43E631FCBF78E8,C0FD78EB9ED4DC1A8DBDA92FC9911FFA
