BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell type	source_name	treatment	group
SAMN12315601	SRR9709047	2019-07-21T09:57:51Z	2019-07-18T16:47:45Z	27072321	5468608842	27072321	202	2323		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9709047/SRR9709047.1	SRX6466961		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117237	simple	9606	Homo sapiens	GSM3954412							no					GEO	SRA922906		public	CF19198EC69A860CB8F2500EA42B059D	C3D39D8E15C83CA43D16200497299FD9	12315601	HEL 646C NT1	Instituto de Medicina Molecular	9606	SRS5117237	GSM3954412	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	No treatment (NT)	control
SAMN12315600	SRR9709048	2019-07-21T09:57:51Z	2019-07-18T16:49:24Z	23108004	4667816808	23108004	202	1995		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9709048/SRR9709048.1	SRX6466962		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117241	simple	9606	Homo sapiens	GSM3954413							no					GEO	SRA922906		public	78E86E3CB408EFDECC220B3FC10AE82C	904E1FBEFE2334122185C3729AF78870	12315600	HEL 646C NT2	Instituto de Medicina Molecular	9606	SRS5117241	GSM3954413	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	No treatment (NT)	control
SAMN12315599	SRR9709049	2019-07-21T09:57:51Z	2019-07-18T16:48:02Z	20978136	4237583472	20978136	202	1822		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR9709049/SRR9709049.1	SRX6466963		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117238	simple	9606	Homo sapiens	GSM3954414							no					GEO	SRA922906		public	5167AD0A8F93D2AEB5B46E5AD54E97DB	ED550745DB0D7A4FCAE229F21FE6F92F	12315599	HEL 646C Doxo4	Instituto de Medicina Molecular	9606	SRS5117238	GSM3954414	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	Doxorubicin (Doxo)	doxorubicin
SAMN12315598	SRR9709050	2019-07-21T09:57:51Z	2019-07-18T16:52:14Z	25417086	5134251372	25417086	202	2178		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9709050/SRR9709050.1	SRX6466964		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117239	simple	9606	Homo sapiens	GSM3954415							no					GEO	SRA922906		public	65595C4A0CC71B3A4A40597A8101D8C3	91D936CEA8217E6958B6DD11B83C1FA9	12315598	HEL 646C Doxo5	Instituto de Medicina Molecular	9606	SRS5117239	GSM3954415	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	Doxorubicin (Doxo)	doxorubicin
SAMN12315597	SRR9709051	2019-07-21T09:57:51Z	2019-07-18T16:50:03Z	23449922	4736884244	23449922	202	2029		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR9709051/SRR9709051.1	SRX6466965		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117240	simple	9606	Homo sapiens	GSM3954416							no					GEO	SRA922906		public	42D3089717223BD7C317F7B5662C37E5	3C24BFB31245B5F08CE176AB723DF917	12315597	HEL 646C Doxo6	Instituto de Medicina Molecular	9606	SRS5117240	GSM3954416	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	Doxorubicin (Doxo)	doxorubicin
SAMN12314605	SRR9709052	2019-07-21T09:57:51Z	2019-07-18T16:48:38Z	23775198	4802589996	23775198	202	2042		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9709052/SRR9709052.1	SRX6466966		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117087	simple	9606	Homo sapiens	GSM3954417							no					GEO	SRA922906		public	872C7DAA6F2ADBE989609A68FEB51518	7EF22CB4F5BF9E7B9F91D9F2036DE866	12314605	HEL 646C Doxo+Cyta 19	Instituto de Medicina Molecular	9606	SRS5117087	GSM3954417	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	Doxorubicin + Cytarabine (Doxo+Cyta)	doxorubicin_cytabine
SAMN12314604	SRR9709053	2019-07-21T09:57:51Z	2019-07-18T16:47:45Z	22741782	4593839964	22741782	202	2001		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9709053/SRR9709053.1	SRX6466967		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117089	simple	9606	Homo sapiens	GSM3954418							no					GEO	SRA922906		public	EC2BA7B6613F415D74009CE8148BBFA9	5F9C2C14B0C4FC0BB47A3A65995F681C	12314604	HEL 646C Doxo+Cyta 20	Instituto de Medicina Molecular	9606	SRS5117089	GSM3954418	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	Doxorubicin + Cytarabine (Doxo+Cyta)	doxorubicin_cytabine
SAMN12314603	SRR9709054	2019-07-21T09:57:51Z	2019-07-18T16:47:25Z	23549512	4757001424	23549512	202	2043		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9709054/SRR9709054.1	SRX6466968		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117088	simple	9606	Homo sapiens	GSM3954419							no					GEO	SRA922906		public	40A001CB9220B2830BB970C684424951	AC0A095F43968B0751FF76E6737DC1ED	12314603	HEL 646C Doxo+Cyta 22	Instituto de Medicina Molecular	9606	SRS5117088	GSM3954419	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	Doxorubicin + Cytarabine (Doxo+Cyta)	doxorubicin_cytabine
SAMN12314602	SRR9709055	2019-07-21T09:57:51Z	2019-07-18T16:49:17Z	23245224	4695535248	23245224	202	2019		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9709055/SRR9709055.1	SRX6466969		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117092	simple	9606	Homo sapiens	GSM3954420							no					GEO	SRA922906		public	BC405665AA5227798607397870410F7A	9F92514F7095C513A1A80299A2522AD7	12314602	HEL 646C Doxo+Cyta+DAC 30	Instituto de Medicina Molecular	9606	SRS5117092	GSM3954420	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	Doxorubicin + Cytarabine + Decitabine (Doxo+Cyta+DAC)	doxorubicin_cytabine_decitabine
SAMN12314601	SRR9709056	2019-07-21T09:57:51Z	2019-07-18T16:48:34Z	20700921	4181586042	20700921	202	1886		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9709056/SRR9709056.1	SRX6466970		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP215274	PRJNA555350	3	555350	SRS5117090	simple	9606	Homo sapiens	GSM3954421							no					GEO	SRA922906		public	364CE733D7910C656A299F168E5B78CA	081D7072F19D4AB6B513ABBA64996AAF	12314601	HEL 646C Doxo+Cyta+DAC 31	Instituto de Medicina Molecular	9606	SRS5117090	GSM3954421	AML cell line - HEL (Human Erythroleukemia)	HEL (Human Erythroleukemia) cell line	Doxorubicin + Cytarabine + Decitabine (Doxo+Cyta+DAC)	doxorubicin_cytabine_decitabine
