BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment
SAMN12741537	SRR10113170	2019-10-16T17:27:07Z	2019-09-13T09:04:45Z	8382481	628686075	0	75	249		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10113170/SRR10113170.1	SRX6842710		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382290	simple	9606	Homo sapiens	GSM4078127							no					GEO	SRA961550		public	612E01492208FE390AA9ECDB900C40DC	DD18774284F71D8D4DC4A252B81D665B	12741537	IGR37_DMSO_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382290	GSM4078127	IGR37	melanoma cell line	IGR37_DMSO_t48h	DMSO
SAMN12741538	SRR10113169	2019-10-16T17:27:07Z	2019-09-13T09:04:40Z	8580486	643536450	0	75	257		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10113169/SRR10113169.1	SRX6842709		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382289	simple	9606	Homo sapiens	GSM4078126							no					GEO	SRA961550		public	E8C81C702768DFDB8911A957B410BBAD	37293412E787DA759DCEA8C51AAE61D8	12741538	501mel_siSCD_2_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382289	GSM4078126	501mel	melanoma cell line	501mel_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741549	SRR10113187	2019-10-16T17:27:08Z	2019-09-13T09:04:52Z	6951034	521327550	0	75	203		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10113187/SRR10113187.1	SRX6842727		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382307	simple	9606	Homo sapiens	GSM4078144							no					GEO	SRA961550		public	1D02FE7EA42AF4C34609B0DD8FD8FDB7	EC97A33751E1605F207644A16AA03735	12741549	IGR37_siSCD_2_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382307	GSM4078144	IGR37	melanoma cell line	IGR37_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741550	SRR10113186	2019-10-16T17:27:08Z	2019-09-13T09:05:07Z	9762571	732192825	0	75	292		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10113186/SRR10113186.1	SRX6842726		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382306	simple	9606	Homo sapiens	GSM4078143							no					GEO	SRA961550		public	06EB20157051DDB928447209B5254070	96EDA3FB2C8C37977406005E09FEB92B	12741550	IGR37_siSCD_2_t48h_R13	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382306	GSM4078143	IGR37	melanoma cell line	IGR37_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741551	SRR10113185	2019-10-16T17:27:08Z	2019-09-13T09:04:51Z	8518966	638922450	0	75	256		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10113185/SRR10113185.1	SRX6842725		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382305	simple	9606	Homo sapiens	GSM4078142							no					GEO	SRA961550		public	5A8E6FB747977EB7EC8C281DB5A27BAB	98D4BD03382D13DAA3B853353A581CCD	12741551	IGR37_siSCD_2_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382305	GSM4078142	IGR37	melanoma cell line	IGR37_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741553	SRR10113184	2019-10-16T17:27:08Z	2019-09-13T09:04:20Z	4998032	374852400	0	75	159		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1011318/SRR10113184.1	SRX6842724		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382304	simple	9606	Homo sapiens	GSM4078141							no					GEO	SRA961550		public	B475761BF9B213204C2D09C3E3C48629	973DB18DBE59C934C6DE98A06B81C87A	12741553	IGR37_siSCD_1_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382304	GSM4078141	IGR37	melanoma cell line	IGR37_siSCD_1_t48h	20nM siSCD#1 48h
SAMN12741554	SRR10113183	2019-10-16T17:27:08Z	2019-09-13T09:03:39Z	3841996	288149700	0	75	121		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10113183/SRR10113183.1	SRX6842723		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382303	simple	9606	Homo sapiens	GSM4078140							no					GEO	SRA961550		public	FE1AF20E1B962D49C4ED4855EC688280	4DEA5533E97C376E68CB833704736DA7	12741554	IGR37_siSCD_1_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382303	GSM4078140	IGR37	melanoma cell line	IGR37_siSCD_1_t48h	20nM siSCD#1 48h
SAMN12741555	SRR10113182	2019-10-16T17:27:08Z	2019-09-13T09:04:54Z	8372205	627915375	0	75	264		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10113182/SRR10113182.1	SRX6842722		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382302	simple	9606	Homo sapiens	GSM4078139							no					GEO	SRA961550		public	DBC755560BCC648E8158DC2F0A001701	912F657F4E22509D02E4AEC8E955F4C4	12741555	IGR37_siSCD_1_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382302	GSM4078139	IGR37	melanoma cell line	IGR37_siSCD_1_t48h	20nM siSCD#1 48h
SAMN12741556	SRR10113181	2019-10-16T17:27:08Z	2019-09-13T09:05:24Z	10533066	789979950	0	75	315		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10113181/SRR10113181.1	SRX6842721		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382301	simple	9606	Homo sapiens	GSM4078138							no					GEO	SRA961550		public	FB9B4314E8840FFEF77DFD097706163A	24F48A20A17C8A116426232D0DEFA252	12741556	IGR37_siCTR_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382301	GSM4078138	IGR37	melanoma cell line	IGR37_siCTR_t48h	20nM siCTRL 48h
SAMN12741557	SRR10113180	2019-10-16T17:27:08Z	2019-09-13T09:04:22Z	9059939	679495425	0	75	268		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1011318/SRR10113180.1	SRX6842720		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382300	simple	9606	Homo sapiens	GSM4078137							no					GEO	SRA961550		public	5DF24D44756E110579AEF78098A8633A	F7BC2D50F868C482D52E6A1D2B988CC1	12741557	IGR37_siCTR_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382300	GSM4078137	IGR37	melanoma cell line	IGR37_siCTR_t48h	20nM siCTRL 48h
SAMN12741558	SRR10113179	2019-10-16T17:27:08Z	2019-09-13T09:04:28Z	6848857	513664275	0	75	200		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1011317/SRR10113179.1	SRX6842719		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382299	simple	9606	Homo sapiens	GSM4078136							no					GEO	SRA961550		public	C9980F95A823394EFE2930341F088A6B	3898025160F286FFBA1E6EEC35BD35C1	12741558	IGR37_siCTR_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382299	GSM4078136	IGR37	melanoma cell line	IGR37_siCTR_t48h	20nM siCTRL 48h
SAMN12741560	SRR10113178	2019-10-16T17:27:08Z	2019-09-13T09:05:30Z	11798794	884909550	0	75	370		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10113178/SRR10113178.1	SRX6842718		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382298	simple	9606	Homo sapiens	GSM4078135							no					GEO	SRA961550		public	A7677BEC1D0D0BF07A5FE37D902B23D9	911A3C1235E3DC8DC064485D6C2401B8	12741560	IGR37_siCTR_1_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382298	GSM4078135	IGR37	melanoma cell line	IGR37_siCTR_1_t48h	20nM siCTRL 48h
SAMN12741561	SRR10113177	2019-10-16T17:27:08Z	2019-09-13T09:05:06Z	9872317	740423775	0	75	314		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10113177/SRR10113177.1	SRX6842717		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382297	simple	9606	Homo sapiens	GSM4078134							no					GEO	SRA961550		public	1B3F36AE4F6BBB793DE8BC98D47D5159	904B3FCFE90776BEA77BF38A9C44F321	12741561	IGR37_siCTR_1_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382297	GSM4078134	IGR37	melanoma cell line	IGR37_siCTR_1_t48h	20nM siCTRL 48h
SAMN12741562	SRR10113176	2019-10-16T17:27:07Z	2019-09-13T09:04:33Z	7853239	588992925	0	75	245		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10113176/SRR10113176.1	SRX6842716		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382296	simple	9606	Homo sapiens	GSM4078133							no					GEO	SRA961550		public	1EB2AD6709568F01D0C8BDE8EE7FB24E	28C987B42E9ADB86F6D9CAF152A3F687	12741562	IGR37_siCTR_1_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382296	GSM4078133	IGR37	melanoma cell line	IGR37_siCTR_1_t48h	20nM siCTRL 48h
SAMN12741564	SRR10113168	2019-10-16T17:27:07Z	2019-09-13T09:04:14Z	8188802	614160150	0	75	247		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10113168/SRR10113168.1	SRX6842708		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382288	simple	9606	Homo sapiens	GSM4078125							no					GEO	SRA961550		public	2A539C9FE5EB417AD80F393F5EEB1AB7	EF9C45B92D8B92EAB3686591209553F1	12741564	501mel_siSCD_2_t48h_R2	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382288	GSM4078125	501mel	melanoma cell line	501mel_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741565	SRR10113167	2019-10-16T17:27:07Z	2019-09-13T09:04:20Z	8199995	614999625	0	75	243		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1011316/SRR10113167.1	SRX6842707		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382287	simple	9606	Homo sapiens	GSM4078124							no					GEO	SRA961550		public	2F328C268ACB41847C28E40E75E1FE69	2B4E8D02EE4C602C8606FFA4BD3BDA06	12741565	501mel_siSCD_2_t48h_R1	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382287	GSM4078124	501mel	melanoma cell line	501mel_siSCD_2_t48h	20nM siSCD#2 48h
SAMN12741566	SRR10113166	2019-10-16T17:27:07Z	2019-09-13T09:03:23Z	5765023	432376725	0	75	182		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10113166/SRR10113166.1	SRX6842706		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221556	PRJNA565365	3	565365	SRS5382286	simple	9606	Homo sapiens	GSM4078123							no					GEO	SRA961550		public	051F4EB1F4E70BC299BAAC4862607CAB	D252F0695C5A00454BFC88C4072C8D94	12741566	501mel_siSCD_1_t48h_R3	Prof. CRGoding, Nuffield Department of Clinical Medicine, Ludwig Institute for Cancer Research	9606	SRS5382286	GSM4078123	501mel	melanoma cell line	501mel_siSCD_1_t48h	20nM siSCD#1 48h
