Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8131644,2019-02-22 16:58:13,2018-10-29 18:57:01,33455619,1706236569,0,51,584,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131644.sralite.1,SRX4952750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994304,SAMN10343578,simple,9606,Homo sapiens,GSM3450377,,,,,,,no,,,,,GEO,SRA800438,,public,58F789725236AF4CBAFF9C1E481A49D7,8831D22DEA23B119A7B961E58E3B7612
SRR8131645,2019-02-22 16:58:13,2018-10-29 18:58:13,37333141,1903990191,0,51,650,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131645.sralite.1,SRX4952751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994303,SAMN10343577,simple,9606,Homo sapiens,GSM3450378,,,,,,,no,,,,,GEO,SRA800438,,public,7D48961D53D715103522A28F6B744C62,286AADD4BE6D97DA9D47CF4F488416C9
SRR8131646,2019-02-22 16:58:13,2018-10-29 18:57:26,34600549,1764627999,0,51,605,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131646.sralite.1,SRX4952752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994305,SAMN10343576,simple,9606,Homo sapiens,GSM3450379,,,,,,,no,,,,,GEO,SRA800438,,public,C556C76D312AA8FF5EAE524538FBAC4F,B4B94293A6DB844C85ECF1027BEA6611
SRR8131647,2019-02-22 16:58:13,2018-10-29 18:58:56,40522928,2066669328,0,51,705,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131647.sralite.1,SRX4952753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994306,SAMN10343575,simple,9606,Homo sapiens,GSM3450380,,,,,,,no,,,,,GEO,SRA800438,,public,EDEC3427035E5EB749B67FCDB22F2676,AF914AB8E83376B00C7A941AD5F027C4
SRR8131648,2019-02-22 16:58:13,2018-10-29 18:56:24,36460352,1859477952,0,51,634,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131648.sralite.1,SRX4952754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994307,SAMN10343597,simple,9606,Homo sapiens,GSM3450381,,,,,,,no,,,,,GEO,SRA800438,,public,685EF6AA83578BC2452A2524191ECA2E,9FBD33F101392FF112C2A79A22159F62
SRR8131649,2019-02-22 16:58:13,2018-10-29 18:59:22,36252663,1848885813,0,51,633,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/131/SRR8131649.sralite.1,SRX4952755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994308,SAMN10343596,simple,9606,Homo sapiens,GSM3450382,,,,,,,no,,,,,GEO,SRA800438,,public,242BB7D06A988AA03B22DA6F7DAF5346,03AA753787F556875A29F218101FC161
SRR8131650,2019-02-22 16:58:13,2018-10-29 18:57:05,33190988,1692740388,0,51,578,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131650.sralite.1,SRX4952756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994309,SAMN10343595,simple,9606,Homo sapiens,GSM3450383,,,,,,,no,,,,,GEO,SRA800438,,public,23F45A34A40B1CBC8EBE1C49812E95F6,8E3D3CEDE604FD42092904891F527048
SRR8131651,2019-02-22 16:58:13,2018-10-29 18:55:44,28605430,1458876930,0,51,497,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131651.sralite.1,SRX4952757,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994310,SAMN10343594,simple,9606,Homo sapiens,GSM3450384,,,,,,,no,,,,,GEO,SRA800438,,public,8FCC4B14304EDD2172E3EA5C4413375B,72C1DE176DDF1C670D0CC8C54399C2C1
SRR8131652,2019-02-22 16:58:13,2018-10-29 18:59:17,42273265,2155936515,0,51,737,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131652.sralite.1,SRX4952758,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994312,SAMN10343593,simple,9606,Homo sapiens,GSM3450385,,,,,,,no,,,,,GEO,SRA800438,,public,E634D15B4146D5B53A3B9D94525E654D,F2435AB6E712C8B69E7291D086F564F9
SRR8131653,2019-02-22 16:58:13,2018-10-29 18:58:45,34938879,1781882829,0,51,606,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/131/SRR8131653.sralite.1,SRX4952759,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167173,PRJNA499122,3,499122,SRS3994311,SAMN10343592,simple,9606,Homo sapiens,GSM3450386,,,,,,,no,,,,,GEO,SRA800438,,public,62DBEA827B9310C4B4CD2CB95B1C044B,3ED4B634E91C78529435F36B2E681FF1
