BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	treatment	group
SAMN03145849	SRR1634330	2018-04-02T06:51:05Z	2014-10-29T11:57:51Z	14437660	1155012800	0	80	690		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634330/SRR1634330.1	SRX746111		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732700	simple	9606	Homo sapiens	GSM1533617							no					GEO	SRA196874		public	C2014538E7CA3A2321F83F43E90CAECC	9E05FBD7A26E9F408F540FF8BFB6A586	3145849	con_DNMT1_0	ISSA lab, fels, temple university	9606	SRS732700	GSM1533617	SW48 (Human colon adenocarcinoma cell line)	human colon_con_DNMT1	siDNMT1 treatment	siDMNT1
SAMN03145861	SRR1634331	2018-04-02T06:51:06Z	2014-10-29T11:58:06Z	13168431	1053474480	0	80	629		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1634331/SRR1634331.1	SRX746112		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732701	simple	9606	Homo sapiens	GSM1533618							no					GEO	SRA196874		public	690161D688194A1DA254491F1750C4D3	5AD1D293A2A5AE792174C584C2DB43D9	3145861	con_DNMT1_1	ISSA lab, fels, temple university	9606	SRS732701	GSM1533618	SW48 (Human colon adenocarcinoma cell line)	human colon_con_DNMT1	siDNMT1 treatment	siDMNT1
SAMN03145856	SRR1634332	2018-04-02T06:51:06Z	2014-10-29T11:59:03Z	15774828	1261986240	0	80	756		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634332/SRR1634332.1	SRX746113		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732703	simple	9606	Homo sapiens	GSM1533619							no					GEO	SRA196874		public	C0CBC50F647FDF326F53CF59E28A8775	A53337848F3AE6E1875E9D50774C5D38	3145856	con_DNMT1_2	ISSA lab, fels, temple university	9606	SRS732703	GSM1533619	SW48 (Human colon adenocarcinoma cell line)	human colon_con_DNMT1	siDNMT1 treatment	siDMNT1
SAMN03145852	SRR1634333	2018-04-02T06:51:06Z	2014-10-29T12:03:12Z	19965137	1597210960	0	80	974		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634333/SRR1634333.1	SRX746114		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732705	simple	9606	Homo sapiens	GSM1533620							no					GEO	SRA196874		public	F0ECF31EBAF127A984A3AF05E1B52C56	0C3A55C518E2BEB25B097BBFB32270E9	3145852	con_DAC_0	ISSA lab, fels, temple university	9606	SRS732705	GSM1533620	SW48 (Human colon adenocarcinoma cell line)	human colon_con_DAC	decitabine treatment	dac
SAMN03145847	SRR1634334	2018-04-02T06:51:06Z	2014-10-29T11:57:43Z	11729722	938377760	0	80	560		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634334/SRR1634334.1	SRX746115		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732704	simple	9606	Homo sapiens	GSM1533621							no					GEO	SRA196874		public	B6479945756DB171CA7493C6F141D2B2	2673C4AA391A6F1B15D52059392A3174	3145847	con_DAC_1	ISSA lab, fels, temple university	9606	SRS732704	GSM1533621	SW48 (Human colon adenocarcinoma cell line)	human colon_con_DAC	decitabine treatment	dac
SAMN03145862	SRR1634335	2018-04-02T06:51:06Z	2014-10-29T11:59:40Z	14701478	1176118240	0	80	702		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634335/SRR1634335.1	SRX746116		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732706	simple	9606	Homo sapiens	GSM1533622							no					GEO	SRA196874		public	DFF09D4BC9B43584172F89B0474422E1	464303CF589DBFE6C0069CFFA659FB6C	3145862	con_DAC_2	ISSA lab, fels, temple university	9606	SRS732706	GSM1533622	SW48 (Human colon adenocarcinoma cell line)	human colon_con_DAC	decitabine treatment	dac
SAMN03145851	SRR1634336	2018-04-02T06:51:06Z	2014-10-29T11:59:34Z	13676644	1094131520	0	80	652		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634336/SRR1634336.1	SRX746117		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732707	simple	9606	Homo sapiens	GSM1533623							no					GEO	SRA196874		public	E2E36EC35FE15ED6E55FA7884115C66B	AFBCD20203D0AE136A2A278E3A9CE413	3145851	con_0	ISSA lab, fels, temple university	9606	SRS732707	GSM1533623	SW48 (Human colon adenocarcinoma cell line)	human colon_con	Control	control
SAMN03145848	SRR1634337	2018-04-02T06:51:06Z	2014-10-29T11:58:44Z	12499012	999920960	0	80	601		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634337/SRR1634337.1	SRX746118		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732708	simple	9606	Homo sapiens	GSM1533624							no					GEO	SRA196874		public	F33235D60CCE3D543975D76BDE30B09E	F531B685BC85EF92336481798FFDA451	3145848	con_1	ISSA lab, fels, temple university	9606	SRS732708	GSM1533624	SW48 (Human colon adenocarcinoma cell line)	human colon_con	Control	control
SAMN03145860	SRR1634338	2018-04-02T06:51:06Z	2014-10-29T11:58:57Z	15366382	1229310560	0	80	737		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634338/SRR1634338.1	SRX746119		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732709	simple	9606	Homo sapiens	GSM1533625							no					GEO	SRA196874		public	12B96835FF625D5E44535C4BCF938C26	9F882CA3FA4C162BE77FB54D7085BBDF	3145860	con_2	ISSA lab, fels, temple university	9606	SRS732709	GSM1533625	SW48 (Human colon adenocarcinoma cell line)	human colon_con	Control	control
SAMN03145857	SRR1634339	2018-04-02T06:51:06Z	2014-10-29T11:59:37Z	15404874	1232389920	0	80	748		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1634339/SRR1634339.1	SRX746120		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP049370	PRJNA265187		265187	SRS732710	simple	9606	Homo sapiens	GSM1533626							no					GEO	SRA196874		public	302466A0BE7CCF5CB0D760A42E5F25D6	B1CCFA5AF22CF2478F5B9D98F36A9DF9	3145857	CHD4_DNMT1_0	ISSA lab, fels, temple university	9606	SRS732710	GSM1533626	SW48 (Human colon adenocarcinoma cell line)	human colon_CHD4_DNMT1	siCHD4 plus siDNMT1 treatment	siDNMT1_siCHD4
